Episode,Agent,Position,Total Reward
65,Agent_3,"(9, 9)",-67
66,Agent_0,"(9, 9)",-26
66,Agent_1,"(9, 9)",-43
66,Agent_2,"(9, 9)",-20
66,Agent_3,"(9, 9)",-25
67,Agent_0,"(9, 9)",-56
67,Agent_1,"(9, 9)",-37
67,Agent_2,"(9, 9)",-35
67,Agent_3,"(9, 9)",-18
68,Agent_0,"(9, 9)",-69
68,Agent_1,"(9, 9)",-14
68,Agent_2,"(9, 9)",-38
68,Agent_3,"(9, 9)",-30
69,Agent_0,"(9, 9)",-69
69,Agent_1,"(9, 9)",-28
69,Agent_2,"(9, 9)",-50
69,Agent_3,"(9, 9)",-48
70,Agent_0,"(9, 9)",-85
70,Agent_1,"(9, 9)",-27
70,Agent_2,"(9, 9)",-68
70,Agent_3,"(9, 9)",-67
71,Agent_0,"(9, 9)",-19
71,Agent_1,"(9, 9)",-99
71,Agent_2,"(9, 9)",-29
71,Agent_3,"(9, 9)",-31
72,Agent_0,"(9, 9)",-27
72,Agent_1,"(9, 9)",-30
72,Agent_2,"(9, 9)",-30
72,Agent_3,"(9, 9)",-42
73,Agent_0,"(9, 9)",-51
73,Agent_1,"(9, 9)",-26
73,Agent_2,"(9, 9)",-24
73,Agent_3,"(9, 9)",-18
74,Agent_0,"(9, 9)",-49
74,Agent_1,"(9, 9)",-18
74,Agent_2,"(9, 9)",-11
74,Agent_3,"(9, 9)",-37
75,Agent_0,"(9, 9)",-10
75,Agent_1,"(9, 9)",-84
75,Agent_2,"(9, 9)",-22
75,Agent_3,"(9, 9)",-49
76,Agent_0,"(9, 9)",-72
76,Agent_1,"(9, 9)",-40
76,Agent_2,"(9, 9)",-82
76,Agent_3,"(9, 9)",-74
77,Agent_0,"(9, 9)",-58
77,Agent_1,"(9, 9)",-19
77,Agent_2,"(9, 9)",-48
77,Agent_3,"(9, 9)",-11
78,Agent_0,"(9, 9)",-16
78,Agent_1,"(9, 9)",-30
78,Agent_2,"(9, 9)",-34
78,Agent_3,"(9, 9)",-53
79,Agent_0,"(9, 9)",-34
79,Agent_1,"(9, 9)",-27
79,Agent_2,"(9, 9)",-32
79,Agent_3,"(9, 9)",-26
80,Agent_0,"(9, 9)",-41
80,Agent_1,"(9, 9)",-20
80,Agent_2,"(9, 9)",-4
80,Agent_3,"(9, 9)",-10
81,Agent_0,"(9, 9)",-10
81,Agent_1,"(9, 9)",-34
81,Agent_2,"(9, 9)",-100
81,Agent_3,"(9, 9)",-30
82,Agent_0,"(9, 9)",-46
82,Agent_1,"(9, 9)",-16
82,Agent_2,"(9, 9)",-15
82,Agent_3,"(9, 9)",-7
83,Agent_0,"(9, 9)",-50
83,Agent_1,"(9, 9)",-31
83,Agent_2,"(9, 9)",-18
83,Agent_3,"(9, 9)",-34
84,Agent_0,"(9, 9)",-26
84,Agent_1,"(9, 9)",-27
84,Agent_2,"(9, 9)",-36
